Album,Artist,Bytes,Sales,City,Company,Composer,Country,CustomerID,Email,FirstName,Genre,InvoiceDate,InvoiceID,LastName,MediaType,Milliseconds,Number of Records,Phone,PostalCode,Quantity,Region,State,Track,UnitPrice
Balls to the Wall,Accept,5.51M,3.96,Stuttgart,,,Germany,2,leonekohler@surfeu.de,Leonie,Rock,1/1/2008 0:00,1,Kahler,Protected AAC audio file,342562,1,+49 0711 2842222,70174,4,Europe,,Balls to the Wall,0.99
Restless and Wild,Accept,4.33M,3.96,Stuttgart,,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",Germany,2,leonekohler@surfeu.de,Leonie,Rock,1/1/2008 0:00,1,Kahler,Protected AAC audio file,252051,1,+49 0711 2842222,70174,4,Europe,,Restless and Wild,0.99
For Those About To Rock We Salute You,AC/DC,8.60M,0.99,Oslo,,"Angus Young, Malcolm Young, Brian Johnson",Norway,4,bjorn.hansen@yahoo.no,Bjarn,Rock,1/2/2008 0:00,2,Hansen,MPEG audio file,263288,1,+47 22 44 22 22,171,1,Europe,,Breaking The Rules,0.99
For Those About To Rock We Salute You,AC/DC,6.85M,1.98,Oslo,,"Angus Young, Malcolm Young, Brian Johnson",Norway,4,bjorn.hansen@yahoo.no,Bjarn,Rock,1/2/2008 0:00,2,Hansen,MPEG audio file,210834,1,+47 22 44 22 22,171,2,Europe,,Inject The Venom,0.99
For Those About To Rock We Salute You,AC/DC,8.61M,1.98,Oslo,,"Angus Young, Malcolm Young, Brian Johnson",Norway,4,bjorn.hansen@yahoo.no,Bjarn,Rock,1/2/2008 0:00,2,Hansen,MPEG audio file,263497,1,+47 22 44 22 22,171,2,Europe,,Evil Walks,0.99
For Those About To Rock We Salute You,AC/DC,6.71M,4.95,Oslo,,"Angus Young, Malcolm Young, Brian Johnson",Norway,4,bjorn.hansen@yahoo.no,Bjarn,Rock,1/2/2008 0:00,2,Hansen,MPEG audio file,205662,1,+47 22 44 22 22,171,5,Europe,,Put The Finger On You,0.99
Let There Be Rock,AC/DC,7.03M,0.99,Brussels,,AC/DC,Belgium,8,daan_peeters@apple.be,Daan,Rock,1/3/2008 0:00,3,Peeters,MPEG audio file,215196,1,+32 02 219 03 03,1000,1,Europe,,Dog Eat Dog,0.99
Let There Be Rock,AC/DC,12.07M,1.98,Brussels,,AC/DC,Belgium,8,daan_peeters@apple.be,Daan,Rock,1/3/2008 0:00,3,Peeters,MPEG audio file,369319,1,+32 02 219 03 03,1000,2,Europe,,Overdose,0.99
Big Ones,Aerosmith,9.99M,1.98,Brussels,,"Steven Tyler, Desmond Child",Belgium,8,daan_peeters@apple.be,Daan,Rock,1/3/2008 0:00,3,Peeters,MPEG audio file,307617,1,+32 02 219 03 03,1000,2,Europe,,Angel,0.99
Big Ones,Aerosmith,10.55M,3.96,Brussels,,"Steven Tyler, Joe Perry",Belgium,8,daan_peeters@apple.be,Daan,Rock,1/3/2008 0:00,3,Peeters,MPEG audio file,321828,1,+32 02 219 03 03,1000,4,Europe,,Love In An Elevator,0.99
Big Ones,Aerosmith,7.07M,4.95,Brussels,,"Steven Tyler, Jim Vallance",Belgium,8,daan_peeters@apple.be,Daan,Rock,1/3/2008 0:00,3,Peeters,MPEG audio file,215875,1,+32 02 219 03 03,1000,5,Europe,,Deuces Are Wild,0.99
Big Ones,Aerosmith,10.87M,4.95,Brussels,,"Steven Tyler, Tom Hamilton",Belgium,8,daan_peeters@apple.be,Daan,Rock,1/3/2008 0:00,3,Peeters,MPEG audio file,330736,1,+32 02 219 03 03,1000,5,Europe,,Janie's Got A Gun,0.99
Audioslave,Audioslave,6.32M,0.99,Edmonton,Telus,Audioslave/Chris Cornell,Canada,14,mphilips12@shaw.ca,Mark,Rock,1/6/2008 0:00,4,Philips,MPEG audio file,263262,1,+1 (780) 434-4554,T6G 2C7,1,North  America,AB,Set It Off,0.99
Plays Metallica By Four Cellos,Apocalyptica,14.38M,1.98,Edmonton,Telus,Apocalyptica,Canada,14,mphilips12@shaw.ca,Mark,Metal,1/6/2008 0:00,4,Philips,MPEG audio file,436453,1,+1 (780) 434-4554,T6G 2C7,2,North  America,AB,Master Of Puppets,0.99
Warner 25 Anos,Ant̫nio Carlos Jobim,5.57M,2.97,Edmonton,Telus,,Canada,14,mphilips12@shaw.ca,Mark,Jazz,1/6/2008 0:00,4,Philips,MPEG audio file,169508,1,+1 (780) 434-4554,T6G 2C7,3,North  America,AB,Angela,0.99
Plays Metallica By Four Cellos,Apocalyptica,11.41M,2.97,Edmonton,Telus,Apocalyptica,Canada,14,mphilips12@shaw.ca,Mark,Metal,1/6/2008 0:00,4,Philips,MPEG audio file,350197,1,+1 (780) 434-4554,T6G 2C7,3,North  America,AB,Welcome Home (Sanitarium),0.99
Facelift,Alice In Chains,7.85M,2.97,Edmonton,Telus,Jerry Cantrell,Canada,14,mphilips12@shaw.ca,Mark,Rock,1/6/2008 0:00,4,Philips,MPEG audio file,241946,1,+1 (780) 434-4554,T6G 2C7,3,North  America,AB,Bleed The Freak,0.99
Warner 25 Anos,Ant̫nio Carlos Jobim,5.54M,4.95,Edmonton,Telus,,Canada,14,mphilips12@shaw.ca,Mark,Jazz,1/6/2008 0:00,4,Philips,MPEG audio file,169900,1,+1 (780) 434-4554,T6G 2C7,5,North  America,AB,Por Causa De Voc̻,0.99
Jagged Little Pill,Alanis Morissette,5.79M,4.95,Edmonton,Telus,Alanis Morissette & Glenn Ballard,Canada,14,mphilips12@shaw.ca,Mark,Rock,1/6/2008 0:00,4,Philips,MPEG audio file,176117,1,+1 (780) 434-4554,T6G 2C7,5,North  America,AB,Right Through You,0.99
Jagged Little Pill,Alanis Morissette,7.60M,4.95,Edmonton,Telus,Alanis Morissette & Glenn Ballard,Canada,14,mphilips12@shaw.ca,Mark,Rock,1/6/2008 0:00,4,Philips,MPEG audio file,227631,1,+1 (780) 434-4554,T6G 2C7,5,North  America,AB,Not The Doctor,0.99
Facelift,Alice In Chains,11.18M,4.95,Edmonton,Telus,"Jerry Cantrell, Michael Starr, Layne Staley",Canada,14,mphilips12@shaw.ca,Mark,Rock,1/6/2008 0:00,4,Philips,MPEG audio file,344163,1,+1 (780) 434-4554,T6G 2C7,5,North  America,AB,Confusion,0.99
Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society,10.51M,0.99,Boston,,,USA,23,johngordon22@yahoo.com,John,Metal,1/11/2008 0:00,5,Gordon,MPEG audio file,319373,1,+1 (617) 522-1333,2113,1,North  America,MA,Super Terrorizer,0.99
Body Count,Body Count,5.46M,1.98,Boston,,,USA,23,johngordon22@yahoo.com,John,Alternative & Punk,1/11/2008 0:00,5,Gordon,MPEG audio file,166426,1,+1 (617) 522-1333,2113,2,North  America,MA,Body Count Anthem,0.99
Body Count,Body Count,7.32M,1.98,Boston,,,USA,23,johngordon22@yahoo.com,John,Alternative & Punk,1/11/2008 0:00,5,Gordon,MPEG audio file,223216,1,+1 (617) 522-1333,2113,2,North  America,MA,Bowels Of The Devil,0.99
The Best Of Buddy Guy - The Millenium Collection,Buddy Guy,7.69M,1.98,Boston,,Al Perkins/Willie Dixon,USA,23,johngordon22@yahoo.com,John,Blues,1/11/2008 0:00,5,Gordon,MPEG audio file,235311,1,+1 (617) 522-1333,2113,2,North  America,MA,When My Left Eye Jumps,0.99
The Best Of Billy Cobham,Billy Cobham,9.71M,1.98,Boston,,Billy Cobham,USA,23,johngordon22@yahoo.com,John,Jazz,1/11/2008 0:00,5,Gordon,MPEG audio file,294060,1,+1 (617) 522-1333,2113,2,North  America,MA,Moon germs,0.99
Black Sabbath,Black Sabbath,6.66M,1.98,Boston,,,USA,23,johngordon22@yahoo.com,John,Metal,1/11/2008 0:00,5,Gordon,MPEG audio file,204930,1,+1 (617) 522-1333,2113,2,North  America,MA,Evil Woman,0.99
Alcohol Fueled Brewtality Live! [Disc 2],Black Label Society,6.42M,2.97,Boston,,,USA,23,johngordon22@yahoo.com,John,Metal,1/11/2008 0:00,5,Gordon,MPEG audio file,194873,1,+1 (617) 522-1333,2113,3,North  America,MA,Heart Of Gold,0.99
BackBeat Soundtrack,BackBeat,2.28M,2.97,Boston,,Chuck Berry,USA,23,johngordon22@yahoo.com,John,Rock And Roll,1/11/2008 0:00,5,Gordon,MPEG audio file,141923,1,+1 (617) 522-1333,2113,3,North  America,MA,Rock 'N' Roll Music,0.99
